sentence_A,sentence_B,relatedness_score
A person is on a baseball team.,A person is playing basketball on a team.,2.4
Our current vehicles will be in museums when everyone has their own aircraft.,The car needs to some work,0.2
A woman supervisor is instructing the male workers.,A woman is working as a nurse.,1
A bike is next to a couple women.,A child next to a bike.,2
The group is eating while taking in a breathtaking view.,A group of people take a look at an unusual tree.,2.2
The boy is raising his hand.,The man is raising his hand.,3.4
A man with a gray beard is being shaved in front of a lecture hall,A man with a beard is sitting in the grass.,0.8
The sky has very little to no clouds.,"This Lady might be ready for Rock Climbing, or just watching the Clouds, above.",0.4
The young boy jumps barefoot outside in the front yard.,The teen rode his bike around the people walking in the courtyard.,0.4
There are dogs in the forest.,The dogs are alone in the forest.,4
Some cyclists stop near a sign.,Two men stop to talk near a sign outside.,3.4
These cooks in the white are busy in the kitchen making dinner for their customers.,The women are preparing dinner in their kitchen.,3
A young person  deep in thought.,A young man deep in thought.,4.6
A man is carrying a canoe with a dog.,A dog is carrying a man in a canoe.,1.8
A man is performing labor.,A man is performing today.,2.8
Two men wearing traditional clothing is standing outside.,Three women wearing black vests and gray shirts are talking outside of a building.,2
a woman watches a rap group live,An audience watches a girl dance.,2.2
A girl dancing on a sandy beach.,A girl is on a sandy beach.,3.6
a man wearing a gray hat fishing out of a fishing boat.,A man wearing a straw hat and fishing vest in a stream.,2.6
A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,A dog in a red shirt is chasing a squirrel through the glass.,0.2
A person is watching people ski down the hill.,The woman is jumping a long distance while people watch.,1.4
The yard has a dog.,The dog is running after another dog.,1.6
The woman is drinking lemonade and watching T.V.,The man is sitting drinking coffee.,0.4
Three women cook.,Two women cooking.,3.2
The woman is kneeling next to a cat.,A girl is standing next to a man.,0.2
The young adult are cold,Asian children are playing with a dog.,0.2
Three guys playing a pro game of basketball.,two guys playing a game of baseball.,2.4
A sad man is jumping over a small stream to meet his companion on the other side.,A man is jumping over a stream to meet his companion on the other side.,3.8
The boys are earning their next belt in karate.,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.,0.2
A woman is digging in the sand.,A man is buried in the sand.,1.4
A woman drives a golf cart.,A man riding a cart.,1.8
A woman is bungee jumping.,A girl is bungee jumping.,4.2
A clown performs for brother and sister as the rest of the party watches.,A blond-haired child performing on the trumpet in front of a house while his younger brother watches.,1.2
A person filming the outdoors.,There is a couple outdoors.,1.6
A human riding a skateboard.,A child is riding a skateboard.,3.8
A woman in a plaid outfit is looking through a bag of produce.,"This is the picture of a woman in a flowered dress, toting something in a bucket.",1
Four girls happily walk down a sidewalk.,Three young girls walk down a sidewalk.,3.4
The tennis player hit the ball into outer space and broke the death star.,A female tennis player is leaping into the air to hit the ball.,1.2
A boy climbs a forest hill.,A boy is climbing a hill.,4
a group of navy seals are singing,A group of military personnel are playing in a brass quintet.,2.4
Blond boy jumping onto deck.,A boy jumping down a wet inflatable slide.,2
A man uses a chainsaw to sculpt a phallic ice sculpture.,A man is using a chainsaw to carve a wooden sculpture.,2.6
A group of male construction workers repair railroad tracks on a cloudy day,A crew of workers working on a railroad track.,3.8
A man playing the violin in the rain.,A man playing the guitar in the rain.,3.2
The people are leaving the airplane.,The people are entering the plane.,2.2
The dogs are chasing a cat.,The dogs are chasing a black cat.,4.4
The girl has something on her head.,The woman has something with her.,2.6
the tan dog is playing with the red dog out in the snow,A yellow dog is playing in the snow.,2.6
People making a structure out of cards.,Two people are together and one is using a piece of clothing in a different way than intended.,0.2
