WORD TRUE_LABEL PRED_LABEL

Yes o o
they o o
did o o
/. o o

and o o
they o o
were o o
not o o
the o o
first b-ordinal o
company o o
that o o
approached o o
me o o
/. o o

but o o
I o o
am o o
not o o
selling o o
medicine o o
or o o
pharmaceuticals o o
/. o o

I o o
'm o o
sort o o
of o o
about o o
selling o o
a o o
full o o
body o o
approach o o
to o o
wellness o o
/. o o

Um o o
there o o
's o o
a o o
big o o
gap o o
between o o
those o o
that o o
are o o
mentally o o
ill o o
and o o
the o o
general o o
population o o
/. o o

A o o
much o o
better o o
looking o o
News b-work_of_art o
Night i-work_of_art o
I o o
might o o
add o o
as o o
Paula b-person o
Zahn i-person o
sits o o
in o o
for o o
Anderson b-person o
and o o
Aaron b-person o
/. o o

They o o
're o o
both o o
off o o
/- o o

Look o o
at o o
that o o
/. o o
